"V1","V2"
595,7
595,10
595,11
596,1
596,7
596,12
596,14
597,7
597,11
597,12
597,14
598,3
598,4
598,9
598,10
599,1
599,9
599,14
599,17
600,5
600,6
600,7
600,16
601,2
601,7
601,10
601,13
602,3
602,4
602,7
602,12
603,7
603,10
603,11
603,13
604,2
604,5
604,6
604,7
605,3
605,5
605,7
605,9
606,4
606,7
606,12
606,14
607,1
607,3
607,9
607,12
608,2
608,12
608,14
608,15
609,2
609,4
609,10
609,13
610,1
610,7
610,9
610,10
611,1
611,7
611,10
611,15
612,1
612,2
612,10
612,17
613,2
613,7
613,10
613,15
614,1
614,7
614,10
614,16
615,4
615,7
615,9
615,12
616,2
616,10
616,13
616,14
617,1
617,5
617,10
617,14
618,2
618,4
618,6
618,12
619,2
619,6
619,7
619,15
620,3
620,5
620,6
620,7
621,1
621,5
621,7
621,14
622,1
622,4
622,5
622,14
623,1
623,2
623,15
623,17
624,3
624,9
624,12
624,14
625,1
625,3
625,5
625,7
626,3
626,7
626,9
626,15
627,4
627,12
627,14
627,15
628,3
628,4
628,9
628,14
629,1
629,7
629,16
630,1
630,2
630,14
631,1
631,5
631,7
632,3
632,4
632,14
633,7
633,9
633,14
634,2
634,7
634,9
635,2
635,4
635,14
636,2
636,7
636,16
637,5
637,7
637,13
638,7
638,12
638,15
639,4
639,7
639,13
640,1
640,4
640,7
641,1
641,2
641,7
642,7
642,9
642,16
643,2
643,13
643,17
644,5
644,7
644,9
645,2
645,7
645,13
646,7
646,13
646,16
647,1
647,2
647,13
648,5
648,12
648,15
649,1
649,4
649,13
650,3
650,4
650,6
651,2
651,4
651,13
652,2
652,3
652,13
653,7
653,13
653,17
654,4
654,7
654,16
655,5
655,7
655,15
656,7
656,11
656,13
657,7
657,9
657,13
658,4
658,5
658,7
659,5
659,7
659,8
660,3
660,4
660,11
661,4
661,11
661,13
662,5
662,7
662,12
663,6
663,7
663,13
664,4
664,7
664,11
665,7
665,12
665,16
666,5
666,8
666,15
667,2
667,12
667,15
668,2
668,9
668,14
669,7
669,9
669,15
670,5
670,9
670,12
671,2
671,5
671,7
672,4
672,5
672,13
673,1
673,13
673,17
674,4
674,11
674,16
675,1
675,2
675,9
676,1
676,2
676,15
677,2
677,4
677,7
678,3
678,4
678,9
679,9
679,12
679,15
680,1
680,12
680,15
681,7
681,12
681,13
682,1
682,2
682,17
683,1
683,5
683,15
684,4
684,12
684,13
685,5
685,9
685,15
686,4
686,9
686,13
687,1
687,7
687,12
688,4
688,5
688,12
689,7
689,9
689,12
690,5
690,9
690,14
691,4
691,7
691,12
692,2
692,5
692,15
693,2
693,11
693,13
694,5
694,7
694,17
695,4
695,13
695,17
696,3
696,7
696,11
697,1
697,7
697,13
698,2
698,13
698,16
699,2
699,13
699,15
700,11
700,13
700,17
701,2
701,4
701,16
702,2
702,16
702,17
703,11
703,13
703,16
704,2
704,4
704,11
705,4
705,9
705,12
706,4
706,13
706,14
707,4
707,11
